,0,1,2,3,4,5,6,7
AL627309.1,0,0.0072463768115942,0,0,0,0,0,0
AL669831.5,0.021505376344086,0.0120772946859903,0.00767263427109974,0.00946372239747634,0,0,0,0
LINC00115,0.003584229390681,0,0,0.00630914826498423,0,0,0,0
FAM41C,0.00537634408602151,0,0.0051150895140665,0,0,0,0,0
AL645608.3,0.00896057347670251,0.00241545893719807,0,0.00315457413249211,0,0,0,0
AL645608.1,0.017921146953405,0.00966183574879227,0.00767263427109974,0.0189274447949527,0,0,0,0
SAMD11,0.046594982078853,0.00241545893719807,0.010230179028133,0.0315457413249211,0.00387596899224806,0,0.0326086956521739,0.0166666666666667
NOC2L,0.245519713261649,0.210144927536232,0.186700767263427,0.239747634069401,0.217054263565891,0.254032258064516,0.184782608695652,0.2
KLHL17,0.014336917562724,0.0072463768115942,0.0153452685421995,0.00630914826498423,0,0.0120967741935484,0.0108695652173913,0
PLEKHN1,0.046594982078853,0.0628019323671498,0.0127877237851662,0.0504731861198738,0.00775193798449612,0.0161290322580645,0.0543478260869565,0.0166666666666667
PERM1,0.00716845878136201,0,0,0.00315457413249211,0,0,0,0
HES4,0,0.0072463768115942,0,0,0,0.00403225806451613,0,0
ISG15,0.202508960573477,0.330917874396135,0.209718670076726,0.141955835962145,0.313953488372093,0.266129032258065,0.347826086956522,0.116666666666667
AGRN,0.847670250896057,0.859903381642512,0.772378516624041,0.763406940063092,0.825581395348837,0.524193548387097,0.804347826086957,0.816666666666667
RNF223,0,0.00241545893719807,0.00255754475703325,0,0,0,0,0
C1orf159,0.0197132616487455,0.0217391304347826,0.0153452685421995,0.0252365930599369,0,0.00806451612903226,0.0108695652173913,0
AL390719.2,0.046594982078853,0.036231884057971,0.0255754475703325,0.0599369085173502,0.0116279069767442,0.0120967741935484,0.0326086956521739,0.0166666666666667
TTLL10,0,0.00241545893719807,0,0,0,0,0,0
TNFRSF18,0.010752688172043,0.00483091787439614,0.00255754475703325,0.00315457413249211,0,0,0.0108695652173913,0
SDF4,0.14336917562724,0.106280193236715,0.0383631713554987,0.107255520504732,0.0542635658914729,0.0282258064516129,0.0543478260869565,0
